restart_count,cpu_usage_pct,memory_usage_pct,pod_ready,last_exit_code,waiting_reason,oom_killed_count,image_pull_errors,failed_scheduling_events,readiness_probe_failures,label
8,66.7,73.5,0,1,CrashLoopBackOff,0,0,0,4,probe_failure
6,72.6,89.8,0,140,OOMKilled,2,0,0,2,oom_killed
1,16.1,49.7,1,0,Unknown,0,0,0,0,healthy
0,55.2,30.0,1,0,Running,0,0,0,0,healthy
0,21.5,33.0,1,0,Running,0,0,0,0,healthy
0,7.5,31.6,0,0,Unschedulable,0,0,9,0,oom_killed
7,64.1,68.0,0,2,CrashLoopBackOff,0,0,0,4,crash_loop
12,67.6,49.1,0,2,CrashLoopBackOff,0,0,0,3,crash_loop
1,52.8,43.2,1,0,Running,0,0,0,4,probe_failure
1,17.3,11.7,0,0,Pending,0,1,0,0,image_pull_error
4,30.6,91.7,0,138,Error,2,0,0,1,oom_killed
0,4.4,18.8,0,1,Pending,0,8,0,0,image_pull_error
0,30.8,37.9,1,0,Running,0,0,0,0,healthy
9,69.7,80.9,0,0,CrashLoopBackOff,0,0,0,2,crash_loop
0,25.8,67.2,1,0,Unknown,0,0,0,0,healthy
0,85.2,84.3,0,0,Error,0,0,0,1,crash_loop
0,10.3,50.2,1,0,Running,0,0,0,1,healthy
0,10.3,20.2,0,0,ImagePullBackOff,0,3,0,0,image_pull_error
3,53.0,50.9,1,1,Error,0,0,0,2,probe_failure
5,58.4,58.8,0,0,CrashLoopBackOff,0,0,0,6,probe_failure
0,27.4,68.2,1,0,Running,0,0,0,1,healthy
9,69.8,77.5,0,1,Error,0,0,0,3,probe_failure
0,32.9,29.3,1,0,Running,0,0,0,0,healthy
7,81.2,65.0,0,1,CrashLoopBackOff,0,0,0,3,probe_failure
7,88.8,62.0,0,1,CrashLoopBackOff,0,0,0,3,probe_failure
0,11.6,12.8,0,0,Unschedulable,0,0,3,0,scheduling_failure
0,11.8,14.4,0,0,Unschedulable,0,0,7,0,scheduling_failure
0,1.4,11.0,0,0,ErrImagePull,0,3,0,0,image_pull_error
0,18.1,17.4,0,0,ImagePullBackOff,0,6,0,1,image_pull_error
7,56.6,64.9,0,0,Error,0,0,0,5,healthy
0,0.0,65.9,1,0,Running,0,0,0,0,healthy
7,98.6,79.4,0,1,CrashLoopBackOff,0,0,0,3,probe_failure
1,50.4,59.9,0,138,OOMKilled,1,0,0,3,oom_killed
0,30.1,45.1,1,0,Running,0,0,0,0,healthy
0,23.1,45.7,1,0,Running,0,0,0,0,healthy
0,2.7,50.6,1,0,Running,0,0,0,0,healthy
1,32.7,36.1,1,0,Running,0,0,0,0,healthy
0,12.7,43.4,1,0,Running,0,0,0,0,healthy
3,52.5,95.2,0,137,Error,1,0,0,3,oom_killed
0,43.8,84.1,0,1,Error,0,0,0,6,crash_loop
8,79.4,49.0,0,1,CrashLoopBackOff,0,0,0,5,probe_failure
8,66.2,84.6,0,1,CrashLoopBackOff,0,0,0,3,crash_loop
0,7.6,47.1,1,0,Running,0,0,0,0,healthy
0,0.0,39.5,1,0,Running,0,0,0,0,healthy
1,26.6,48.5,1,0,Running,0,0,0,1,healthy
3,41.7,58.9,0,1,Running,0,0,0,1,probe_failure
1,53.3,86.7,1,137,Error,5,0,0,1,oom_killed
1,36.4,36.1,1,0,Unknown,0,0,0,0,healthy
1,27.1,33.7,1,0,Unknown,0,0,0,0,healthy
0,4.2,22.1,0,0,ContainerCreating,0,0,7,0,scheduling_failure
1,10.1,30.8,1,0,Unknown,0,0,0,1,healthy
8,76.9,70.1,0,1,Error,0,0,0,5,probe_failure
3,42.8,49.9,1,0,Running,0,0,0,0,probe_failure
0,22.7,48.8,1,0,Running,0,0,0,0,healthy
0,26.3,39.2,1,0,Running,0,0,0,0,healthy
1,26.6,48.6,1,0,Running,0,0,0,0,healthy
0,11.6,54.3,1,0,Running,0,0,0,0,healthy
1,23.5,51.2,1,0,Running,0,0,0,0,healthy
0,37.3,42.5,1,0,Unknown,0,0,0,0,healthy
7,76.4,60.3,0,1,Error,0,0,0,6,probe_failure
5,67.8,85.5,0,92,Error,1,0,0,0,oom_killed
0,10.1,26.1,1,0,ErrImagePull,0,6,0,0,image_pull_error
7,70.6,83.9,0,0,Running,0,0,0,5,crash_loop
1,3.5,17.0,0,0,ErrImagePull,0,4,0,0,image_pull_error
6,78.4,61.5,0,1,Error,0,0,0,2,probe_failure
0,34.5,32.6,1,0,Running,0,0,0,0,healthy
0,9.9,11.9,0,0,Unschedulable,0,0,7,0,scheduling_failure
0,30.4,29.5,1,0,Running,0,0,0,0,healthy
0,20.2,34.0,1,0,Running,0,0,0,0,healthy
8,70.9,89.6,0,2,Error,0,0,0,3,probe_failure
7,72.3,73.0,0,2,CrashLoopBackOff,0,0,0,3,probe_failure
1,13.4,32.1,1,0,Running,0,0,0,1,healthy
1,47.4,64.5,1,0,CrashLoopBackOff,0,0,0,3,probe_failure
1,38.1,42.4,1,0,Unknown,0,0,0,1,healthy
3,26.4,41.7,1,0,Error,0,0,0,7,probe_failure
1,14.2,8.2,0,0,Pending,0,5,0,1,image_pull_error
0,24.7,14.5,1,0,Running,0,0,0,0,healthy
3,45.7,64.4,0,0,CrashLoopBackOff,0,0,0,4,probe_failure
0,15.6,40.7,1,0,Unknown,0,0,0,0,healthy
1,8.0,34.0,1,0,Running,0,0,0,0,healthy
2,75.5,88.0,0,133,CrashLoopBackOff,0,0,0,1,oom_killed
3,31.5,95.2,0,134,Error,4,0,0,3,oom_killed
9,68.9,77.2,0,1,CrashLoopBackOff,0,0,0,5,probe_failure
5,55.4,88.5,0,141,Error,3,0,0,2,oom_killed
2,57.0,96.4,0,136,Error,0,0,0,1,oom_killed
3,41.7,65.0,0,1,Error,0,0,0,5,probe_failure
1,28.0,45.4,0,0,Running,0,0,0,0,healthy
7,91.7,88.8,0,2,Error,0,0,0,3,probe_failure
8,77.3,72.2,0,1,Error,0,0,0,3,probe_failure
0,55.9,59.1,1,0,Running,0,0,0,0,healthy
0,29.7,29.5,1,0,Running,0,0,0,0,healthy
14,75.4,77.8,0,1,Error,0,0,0,5,crash_loop
0,21.0,39.4,1,0,Running,0,0,0,0,healthy
6,76.3,76.9,0,0,Error,0,0,0,6,probe_failure
0,30.1,41.2,1,0,Running,0,0,0,1,healthy
0,16.4,24.5,1,0,Unknown,0,0,0,0,healthy
10,70.3,66.2,0,0,Running,0,0,0,2,crash_loop
6,60.8,68.1,0,1,Running,0,0,0,2,crash_loop
0,19.3,44.6,1,0,Running,0,0,0,1,healthy
9,76.1,69.4,0,0,CrashLoopBackOff,0,0,0,3,probe_failure
3,20.1,53.9,0,1,CrashLoopBackOff,0,0,0,2,crash_loop
4,56.8,79.5,0,134,OOMKilled,6,0,0,1,oom_killed
1,19.7,65.6,1,0,Running,0,0,0,6,probe_failure
0,16.2,41.3,1,0,Running,0,0,0,1,healthy
4,62.4,67.8,0,0,Running,0,0,0,1,crash_loop
8,76.0,75.3,0,1,CrashLoopBackOff,0,0,0,3,probe_failure
6,76.2,74.1,0,2,CrashLoopBackOff,0,0,0,5,probe_failure
8,77.9,71.6,0,1,CrashLoopBackOff,0,0,0,5,probe_failure
1,47.7,25.4,1,0,Running,0,0,0,0,healthy
9,78.2,69.6,0,1,CrashLoopBackOff,0,0,0,5,probe_failure
0,23.1,34.0,1,0,Running,0,0,0,0,healthy
0,19.0,11.2,0,0,Unschedulable,0,0,5,0,scheduling_failure
0,33.3,27.3,1,0,Running,0,0,0,1,healthy
0,18.3,42.7,1,0,Running,0,0,0,0,healthy
7,77.6,90.4,0,0,Error,0,0,0,5,probe_failure
1,43.0,49.2,1,0,Running,0,0,0,8,probe_failure
0,18.6,37.7,1,0,Running,0,0,0,0,probe_failure
0,28.8,27.8,1,0,Running,0,0,0,0,healthy
1,6.9,30.1,1,0,Running,0,0,0,0,healthy
0,17.6,20.7,0,0,ErrImagePull,0,5,0,1,image_pull_error
3,52.6,72.0,0,136,OOMKilled,2,0,0,1,oom_killed
1,23.0,60.1,1,0,Running,0,0,0,0,healthy
12,78.6,71.6,0,1,Error,0,0,0,4,probe_failure
11,71.6,66.5,0,1,CrashLoopBackOff,0,0,0,5,probe_failure
0,80.8,65.0,0,1,CrashLoopBackOff,0,0,0,3,crash_loop
0,55.9,85.5,0,136,CrashLoopBackOff,3,0,0,1,oom_killed
9,81.5,74.9,0,1,Error,0,0,0,4,probe_failure
5,75.3,85.5,0,2,CrashLoopBackOff,0,0,0,3,probe_failure
2,57.4,53.9,0,0,Error,0,0,0,2,probe_failure
11,82.4,44.5,0,0,Running,0,0,0,1,crash_loop
0,37.4,24.8,1,0,Running,0,0,0,0,probe_failure
1,16.4,56.4,1,0,Running,0,0,0,0,healthy
3,59.5,43.9,1,1,Error,0,0,0,0,probe_failure
0,19.3,48.3,1,0,Unknown,0,0,0,0,healthy
7,77.8,71.5,0,1,CrashLoopBackOff,0,0,0,3,probe_failure
2,24.3,51.6,1,0,Running,0,0,0,0,healthy
0,3.9,21.1,0,0,Pending,0,0,6,0,scheduling_failure
0,23.2,68.9,1,0,Running,0,0,0,0,healthy
3,50.5,85.8,0,0,Error,0,0,0,7,crash_loop
0,13.2,15.1,0,0,Pending,0,0,1,0,scheduling_failure
0,45.4,67.2,1,0,Running,0,0,0,0,healthy
7,77.4,67.3,0,1,CrashLoopBackOff,0,0,0,3,probe_failure
9,76.8,83.3,0,1,Error,0,0,0,5,probe_failure
0,26.8,38.9,1,0,Running,0,0,0,0,healthy
13,73.4,73.6,0,1,Error,0,0,0,4,scheduling_failure
1,15.3,58.1,1,0,Running,0,0,0,1,healthy
7,39.9,52.1,0,1,CrashLoopBackOff,0,0,0,0,crash_loop
0,42.1,58.1,0,0,Error,0,0,0,5,probe_failure
1,31.1,42.9,1,0,Running,0,0,0,0,healthy
6,69.1,56.9,0,1,CrashLoopBackOff,0,0,0,6,probe_failure
0,30.4,55.1,1,0,Running,0,0,0,1,healthy
5,56.2,70.9,0,1,Error,0,0,0,6,crash_loop
1,13.6,17.9,0,0,ContainerCreating,0,0,7,1,scheduling_failure
1,0.1,17.7,0,1,ImagePullBackOff,0,4,0,1,image_pull_error
5,80.5,61.1,0,1,Error,0,0,0,4,probe_failure
5,52.6,91.3,0,139,OOMKilled,4,0,0,3,oom_killed
2,47.1,74.3,0,0,Error,0,0,0,4,probe_failure
0,10.0,55.5,1,0,Running,0,0,0,0,healthy
0,16.0,11.5,0,1,Pending,0,4,0,1,image_pull_error
3,42.8,59.2,0,1,CrashLoopBackOff,0,0,0,4,probe_failure
0,40.8,42.5,1,0,Unknown,0,0,0,0,healthy
1,37.8,47.2,1,0,Running,0,0,0,0,healthy
1,27.7,33.3,1,0,Running,0,0,0,1,healthy
1,30.4,53.6,0,0,Error,0,0,0,7,probe_failure
1,15.1,26.4,1,0,Running,0,0,0,0,healthy
7,77.4,75.7,0,1,CrashLoopBackOff,0,0,0,3,probe_failure
3,50.7,60.0,1,1,Running,0,0,0,5,probe_failure
1,25.6,38.8,1,0,Running,0,0,0,1,healthy
0,3.9,18.6,0,0,ErrImagePull,0,5,0,0,image_pull_error
0,8.5,17.3,0,0,Unschedulable,0,0,7,0,scheduling_failure
1,14.3,21.9,1,0,Running,0,0,0,0,healthy
0,2.9,15.7,0,0,ImagePullBackOff,0,6,0,0,image_pull_error
1,13.8,17.1,0,0,ContainerCreating,0,0,5,0,scheduling_failure
10,79.4,72.7,0,1,Error,0,0,0,1,probe_failure
6,78.0,86.5,0,1,Error,0,0,0,6,probe_failure
1,36.8,58.8,1,0,Running,0,0,0,1,healthy
0,19.2,42.4,1,0,Running,0,0,0,1,healthy
1,45.7,63.1,1,0,Error,0,0,0,8,probe_failure
0,30.3,44.2,1,0,Running,0,0,0,0,healthy
1,23.9,35.6,1,0,Unknown,0,0,0,0,healthy
0,20.7,22.2,0,0,ImagePullBackOff,0,5,0,0,image_pull_error
0,4.9,12.1,1,0,Running,0,0,0,1,healthy
0,11.3,1.3,0,0,ContainerCreating,0,0,7,1,scheduling_failure
1,4.9,18.2,0,0,Unschedulable,0,0,6,0,scheduling_failure
6,59.1,99.1,0,138,OOMKilled,1,0,0,1,oom_killed
1,24.7,43.3,1,0,Running,0,0,0,0,healthy
0,29.9,64.4,1,0,Unknown,0,0,0,1,healthy
0,5.2,9.9,0,0,Unschedulable,0,0,2,0,scheduling_failure
1,15.3,7.0,1,0,Pending,0,0,7,0,scheduling_failure
6,63.3,65.7,0,1,CrashLoopBackOff,0,0,0,4,probe_failure
9,82.7,78.5,0,1,CrashLoopBackOff,0,0,0,5,probe_failure
0,48.1,28.5,1,0,Running,0,0,0,0,healthy
8,84.6,72.0,0,1,CrashLoopBackOff,0,0,0,5,probe_failure
11,76.6,84.4,0,1,CrashLoopBackOff,0,0,0,6,probe_failure
0,18.2,33.1,1,0,Running,0,0,0,1,healthy
0,24.1,47.0,1,0,Unknown,0,0,0,0,healthy
3,65.9,56.6,0,0,CrashLoopBackOff,0,0,0,7,crash_loop
8,76.8,66.7,0,1,CrashLoopBackOff,0,0,0,4,probe_failure
1,9.3,10.1,0,0,Unschedulable,0,0,8,0,scheduling_failure
0,25.1,62.7,1,0,Running,0,0,0,1,healthy
1,0.0,39.2,1,0,Running,0,0,0,1,healthy
3,44.4,100.0,0,84,OOMKilled,2,0,0,4,oom_killed
8,23.2,70.6,0,1,Running,0,0,0,0,crash_loop
0,35.7,40.8,1,0,Unknown,0,0,0,0,healthy
2,31.2,91.0,0,130,Error,4,0,0,2,oom_killed
0,13.6,29.7,1,0,Unknown,0,0,0,1,healthy
6,75.7,70.0,0,1,CrashLoopBackOff,0,0,0,3,probe_failure
1,26.0,60.3,1,0,Running,0,0,0,0,healthy
1,25.1,53.1,1,0,Running,0,0,0,0,healthy
10,72.6,79.3,0,1,CrashLoopBackOff,0,0,0,4,probe_failure
0,5.4,26.1,0,1,Pending,0,4,0,1,image_pull_error
1,38.0,52.3,0,1,CrashLoopBackOff,0,0,0,6,probe_failure
5,75.1,87.1,0,1,Error,0,0,0,4,crash_loop
1,51.6,13.2,1,0,Running,0,0,0,0,healthy
6,78.1,78.5,0,1,CrashLoopBackOff,0,0,0,5,probe_failure
2,46.5,53.7,1,0,Error,0,0,0,4,probe_failure
3,71.0,77.2,0,130,OOMKilled,4,0,0,1,oom_killed
0,5.3,19.6,1,0,Running,0,0,0,0,healthy
2,30.0,70.5,0,1,CrashLoopBackOff,0,0,0,4,probe_failure
0,25.7,42.6,0,0,Running,0,0,0,0,healthy
3,66.9,86.8,0,0,Running,0,0,0,7,probe_failure
0,14.1,12.6,0,0,ErrImagePull,0,6,0,0,image_pull_error
2,67.3,97.5,0,137,Error,0,0,0,1,oom_killed
7,90.9,57.0,0,1,Error,0,0,0,5,crash_loop
11,72.0,61.2,0,1,CrashLoopBackOff,0,0,0,3,probe_failure
10,68.8,73.4,0,1,Error,0,0,0,3,probe_failure
2,46.6,94.9,0,136,OOMKilled,4,0,0,3,oom_killed
9,28.8,90.4,0,0,Running,0,0,0,2,crash_loop
1,19.4,5.9,0,0,ImagePullBackOff,0,3,0,0,image_pull_error
0,13.1,9.7,0,0,Pending,0,0,3,0,scheduling_failure
9,83.1,76.9,0,1,CrashLoopBackOff,0,0,0,3,probe_failure
4,35.9,100.0,0,88,OOMKilled,3,0,0,1,oom_killed
6,75.5,73.9,0,1,CrashLoopBackOff,0,0,0,5,probe_failure
0,0.8,16.2,0,0,ErrImagePull,0,3,0,0,image_pull_error
4,40.8,83.3,0,136,CrashLoopBackOff,1,0,0,1,oom_killed
0,29.6,45.4,1,0,Running,0,0,0,0,healthy
9,83.1,76.7,0,1,CrashLoopBackOff,0,0,0,3,probe_failure
0,7.7,49.6,1,0,Running,0,0,0,0,healthy
0,11.8,43.7,1,0,Unknown,0,0,0,1,healthy
0,28.4,30.8,1,0,Running,0,0,0,0,healthy
0,8.0,10.5,0,0,ImagePullBackOff,0,6,0,0,image_pull_error
2,60.9,100.0,0,135,OOMKilled,0,0,0,2,oom_killed
0,14.8,43.5,1,0,Running,0,0,0,0,healthy
0,15.2,37.4,1,0,Running,0,0,0,0,healthy
7,72.6,68.0,0,1,CrashLoopBackOff,0,0,0,4,probe_failure
0,11.4,16.0,0,0,ImagePullBackOff,0,7,0,0,image_pull_error
2,48.1,76.0,0,91,OOMKilled,0,0,0,1,oom_killed
0,15.0,16.2,0,0,Pending,0,0,7,0,scheduling_failure
6,78.4,69.8,0,1,CrashLoopBackOff,0,0,0,4,probe_failure
2,51.6,50.1,0,0,CrashLoopBackOff,0,0,0,5,probe_failure
7,81.8,66.9,0,1,CrashLoopBackOff,0,0,0,5,probe_failure
2,39.8,88.5,0,136,OOMKilled,5,0,0,2,oom_killed
8,51.0,75.4,0,1,CrashLoopBackOff,0,0,0,7,crash_loop
0,25.2,14.5,1,0,Running,0,0,0,0,healthy
0,7.1,16.3,0,0,Pending,0,2,0,1,image_pull_error
0,38.1,33.2,1,0,Running,0,0,0,0,healthy
7,74.3,67.2,1,1,CrashLoopBackOff,0,0,0,4,probe_failure
6,40.8,56.0,0,0,Running,0,0,0,0,crash_loop
7,50.8,83.0,0,133,CrashLoopBackOff,3,0,0,1,oom_killed
10,75.7,77.7,0,1,Error,0,0,0,7,probe_failure
1,28.8,43.4,0,0,Running,0,0,0,6,probe_failure
3,60.1,88.9,0,1,Running,0,0,0,4,crash_loop
2,38.1,65.0,0,2,CrashLoopBackOff,0,0,0,5,probe_failure
7,79.6,66.5,0,1,Error,0,0,0,4,probe_failure
1,17.2,10.1,0,0,Unschedulable,0,0,7,0,scheduling_failure
3,44.5,53.3,0,2,Error,0,0,0,1,crash_loop
0,7.1,19.8,0,0,ImagePullBackOff,0,3,0,0,image_pull_error
3,41.0,78.8,0,138,Error,3,0,0,1,oom_killed
0,13.1,15.4,0,0,Pending,0,2,0,0,image_pull_error
1,85.0,72.0,0,135,OOMKilled,4,0,0,3,oom_killed
1,72.4,71.3,0,1,Running,0,0,0,2,crash_loop
3,32.5,83.8,0,136,OOMKilled,6,0,0,4,oom_killed
10,69.7,63.6,0,2,CrashLoopBackOff,0,0,0,0,crash_loop
1,9.8,7.0,0,0,ErrImagePull,0,5,0,0,image_pull_error
1,21.1,46.1,1,0,Running,0,0,0,0,healthy
1,41.1,64.0,0,1,Running,0,0,0,7,probe_failure
4,92.0,81.2,0,3,CrashLoopBackOff,0,0,0,2,crash_loop
1,6.1,5.4,0,0,Unschedulable,0,0,7,0,scheduling_failure
0,15.3,33.4,0,0,ContainerCreating,0,0,4,0,scheduling_failure
6,59.9,78.0,0,1,CrashLoopBackOff,0,0,0,3,probe_failure
0,4.8,17.4,0,0,Pending,0,8,0,0,image_pull_error
0,5.7,17.5,0,0,ErrImagePull,0,3,0,0,image_pull_error
1,10.5,12.6,0,0,Pending,0,6,0,0,image_pull_error
1,30.8,32.6,1,0,Unknown,0,0,0,0,healthy
2,32.6,35.5,0,0,Running,0,0,0,4,probe_failure
1,12.7,10.4,0,0,Pending,0,0,10,0,scheduling_failure
0,32.5,25.7,1,0,Running,0,0,0,0,healthy
1,14.2,41.0,1,0,Running,0,0,0,0,healthy
10,86.6,66.2,0,1,Error,0,0,0,6,probe_failure
0,17.1,16.8,0,0,ErrImagePull,0,1,0,0,image_pull_error
7,70.9,88.5,0,1,CrashLoopBackOff,0,0,0,1,probe_failure
2,28.4,65.5,0,0,CrashLoopBackOff,0,0,0,8,probe_failure
9,83.0,75.4,0,0,CrashLoopBackOff,0,0,0,5,probe_failure
7,75.3,77.4,0,1,CrashLoopBackOff,0,0,0,4,probe_failure
9,82.2,64.0,0,1,CrashLoopBackOff,0,0,0,4,probe_failure
8,69.5,74.9,0,1,Error,0,0,0,6,probe_failure
8,77.7,59.8,0,0,Error,0,0,0,5,probe_failure
2,59.5,61.7,0,0,Running,0,0,0,1,probe_failure
2,58.0,54.3,1,1,CrashLoopBackOff,0,0,0,2,probe_failure
4,46.5,88.0,0,0,Error,0,0,0,4,crash_loop
0,11.8,33.3,0,0,ImagePullBackOff,0,5,0,0,image_pull_error
0,33.9,40.9,1,0,Running,0,0,0,0,healthy
2,40.7,60.3,1,0,Running,0,0,0,3,probe_failure
0,39.5,59.1,0,0,Error,0,0,0,5,probe_failure
0,12.4,9.6,0,0,Unschedulable,0,0,11,0,scheduling_failure
6,72.2,74.1,0,1,Error,0,0,0,4,probe_failure
5,89.4,70.6,0,1,CrashLoopBackOff,0,0,0,5,probe_failure
3,59.5,48.1,1,0,Running,0,0,0,5,probe_failure
0,6.8,19.3,1,0,Running,0,0,0,0,healthy
3,71.2,72.3,0,0,CrashLoopBackOff,0,0,0,0,crash_loop
2,44.3,87.9,0,88,OOMKilled,2,0,0,0,oom_killed
0,21.8,48.2,1,0,Running,0,0,0,0,healthy
0,12.8,63.5,1,0,Unknown,0,0,0,0,healthy
11,75.3,72.1,0,0,CrashLoopBackOff,0,0,0,6,probe_failure
7,76.6,76.0,0,1,CrashLoopBackOff,0,0,0,3,probe_failure
0,38.2,39.8,1,0,Running,0,0,0,0,oom_killed
1,27.9,23.5,1,0,Running,0,0,0,1,healthy
1,17.9,27.7,1,0,Running,0,0,0,0,healthy
3,91.7,60.1,0,1,CrashLoopBackOff,0,0,0,7,probe_failure
1,28.0,28.7,0,0,Running,0,0,0,0,healthy
2,41.6,66.1,0,0,Error,0,0,0,4,probe_failure
0,51.8,55.9,0,1,Running,0,0,0,5,probe_failure
0,35.6,39.1,1,0,Unknown,0,0,0,0,healthy
2,39.1,36.7,0,1,Error,0,0,0,6,probe_failure
0,26.9,13.5,1,0,Running,0,0,0,1,healthy
6,65.2,65.6,0,1,CrashLoopBackOff,0,0,0,3,probe_failure
1,5.8,17.2,0,0,ErrImagePull,0,7,0,0,image_pull_error
0,5.5,21.4,0,0,ErrImagePull,0,4,0,0,image_pull_error
0,4.4,13.9,0,0,ImagePullBackOff,0,3,0,1,image_pull_error
4,74.4,75.6,0,1,CrashLoopBackOff,0,0,0,6,probe_failure
1,7.5,43.2,1,0,Running,0,0,0,0,healthy
1,48.3,67.3,0,0,Error,0,0,0,6,probe_failure
2,57.5,84.4,0,145,CrashLoopBackOff,5,0,0,3,oom_killed
1,20.0,37.7,1,0,Running,0,0,0,1,healthy
0,22.1,47.9,1,0,Running,0,0,0,0,healthy
5,79.5,65.8,0,1,CrashLoopBackOff,0,0,0,3,probe_failure
4,65.6,87.9,0,136,CrashLoopBackOff,2,0,0,4,oom_killed
0,25.2,40.0,1,0,Unknown,0,0,0,0,healthy
1,6.8,30.6,0,0,Pending,0,0,4,0,scheduling_failure
0,11.1,21.8,0,0,ErrImagePull,0,4,0,1,probe_failure
0,7.8,16.7,0,0,Unschedulable,0,0,4,0,scheduling_failure
2,43.1,53.2,0,1,Running,0,0,0,3,probe_failure
0,52.0,49.4,0,0,Error,0,0,0,4,probe_failure
0,15.8,8.1,0,0,ErrImagePull,0,4,0,0,image_pull_error
9,70.4,57.0,0,1,CrashLoopBackOff,0,0,0,5,crash_loop
10,71.1,64.0,0,1,CrashLoopBackOff,0,0,0,7,probe_failure
0,30.8,45.9,1,0,Running,0,0,0,0,healthy
0,53.2,66.6,0,1,Running,0,0,0,1,crash_loop
0,15.8,8.6,0,0,ImagePullBackOff,0,5,0,1,image_pull_error
0,78.9,98.5,0,1,Error,0,0,0,2,crash_loop
2,6.2,64.0,1,0,Running,0,0,0,1,healthy
6,78.7,72.4,0,1,CrashLoopBackOff,0,0,0,2,probe_failure
0,29.8,28.5,1,0,Unknown,0,0,0,0,healthy
0,33.4,26.4,1,0,Unknown,0,0,0,0,healthy
0,12.4,38.4,1,0,Running,0,0,0,0,healthy
9,55.8,54.1,1,1,Error,0,0,0,4,crash_loop
4,60.5,76.7,0,1,CrashLoopBackOff,0,0,0,3,crash_loop
0,44.8,39.8,0,0,Running,0,0,0,1,healthy
0,46.3,68.6,1,0,Unknown,0,0,0,0,healthy
0,34.3,45.9,1,0,Running,0,0,0,1,healthy
4,72.1,73.8,0,132,CrashLoopBackOff,1,0,0,3,oom_killed
8,70.2,81.0,0,1,Error,0,0,0,1,probe_failure
0,18.3,17.2,1,0,ImagePullBackOff,0,5,0,0,image_pull_error
6,71.5,59.5,0,1,CrashLoopBackOff,0,0,0,4,probe_failure
10,79.2,84.9,0,1,Error,0,0,0,3,probe_failure
3,30.2,85.9,0,142,OOMKilled,1,0,0,3,oom_killed
0,10.0,16.9,0,0,ImagePullBackOff,0,7,0,0,image_pull_error
10,89.7,63.5,0,2,CrashLoopBackOff,0,0,0,4,crash_loop
0,9.4,35.3,1,0,Running,0,0,0,0,healthy
10,72.6,100.0,0,1,CrashLoopBackOff,0,0,0,4,probe_failure
0,57.8,74.0,0,0,Running,0,0,0,3,probe_failure
1,33.0,42.0,0,1,Error,0,0,0,1,probe_failure
8,86.6,62.8,0,1,Error,0,0,0,4,probe_failure
0,6.3,12.7,0,1,Pending,0,8,0,0,image_pull_error
7,69.4,75.4,0,1,Error,0,0,0,7,probe_failure
1,23.8,36.0,1,0,Running,0,0,0,0,healthy
0,7.7,24.5,0,0,ErrImagePull,0,0,0,0,image_pull_error
6,62.4,68.2,0,1,Error,0,0,0,2,crash_loop
10,74.4,53.7,0,0,CrashLoopBackOff,0,0,0,3,probe_failure
2,61.4,69.3,0,1,CrashLoopBackOff,0,0,0,0,probe_failure
